class_id,class_name,class_category,class_thumbnail_path,class_header_path,class_video_src,class_description,class_benefits/0,class_benefits/1,class_benefits/2,class_duration/0,class_duration/1,class_duration/2,class_bring_items/0,class_bring_items/1,class_bring_items/2
101,BodyAttack,Cardio,../img/classes/thumbnails/bodyattack_600x600_thumbnail.png,../img/classes/headers/bodyattack-q319-lesmills-fia-webassets_cf-dt-ba.jpg,https://www.youtube-nocookie.com/embed/7VAChqy78oc?si=HyycRlvjgnPtFoML,"BODYATTACK™ is a high-energy fitness class with moves that cater for total beginners to total addicts. We combine athletic movements like running, lunging and jumping with strength exercises such as push-ups and squats. A LES MILLS™ instructor will pump out energizing tunes and lead you through the workout – challenging your limits in a good way, burning up to 555 calories** and leaving you with a sense of achievement.",Improved cardio fitness and stamina,Toning and shaping,Improved agility,30mins,45mins,55mins,Water Bottle,Sweat Towel,Yoga Mat
102,BodyCombat,Cardio,../img/classes/thumbnails/bodycombat-workout-page.jpg,../img/classes/headers/body-combat-header.jpg,https://www.youtube-nocookie.com/embed/-OyrZAKnyDs?si=NQXAoh_oytM_jEST,BODYCOMBAT™ is a high-energy martial arts-inspired workout. You'll punch and kick your way to superior fitness and strength. It's totally non-contact and there are no complex moves to master. A LES MILLS™ instructor will challenge you to up the intensity and motivate you to make the most of every round.,Increased cardiovascular fitness,Improved coordination and agility,,45mins,60mins,,Water Bottle,Towel,Workout Gloves
103,BodyPump,Strength,../img/classes/thumbnails/bodypump_tile_600x600.jpg,../img/classes/headers/bodypump-q319-lesmills-fia-webassets_cf-dt-bp.jpg,https://www.youtube-nocookie.com/embed/Z48mD4csrBM?si=4SmyFq3tj6ZKi3bO,"BODYPUMP™ is a barbell workout for anyone looking to get lean, toned, and fit – fast. Using light to moderate weights with lots of repetition, BODYPUMP gives you a total body workout. It will burn up to 540 calories*. Instructors will coach you through the scientifically-backed moves and techniques pumping out encouragement, motivation, and great music – helping you achieve much more than on your own!",Full-body toning,Increased strength and endurance,Lean muscle building,45mins,55mins,60mins,Water Bottle,Towel,Weightlifting Gloves
104,BodyStep,Cardio,../img/classes/thumbnails/bodystep_600x600_thumbnail.jpg,../img/classes/headers/bodystep_q319-lesmills-fia-webassets_cf-dt-bs.jpg,https://www.youtube-nocookie.com/embed/h0YpmnVN5Pk?si=OE2u0yIj6g1yRHWA,"BODYSTEP™ is the energizing step workout that makes you feel liberated and alive. Using a height-adjustable step and simple movements on, over, and around the step, you get huge motivation from sing-a-long music and approachable instructors. Cardio blocks push fat burning systems into high gear followed by muscle conditioning tracks that shape and tone your body.",Improved coordination,Lower body toning,Cardiovascular conditioning,30mins,45mins,60mins,Water Bottle,Towel,Workout Shoes
105,BodyBalance,Flexibility,../img/classes/thumbnails/bodybalance_600x600_thumbnails.png,../img/classes/headers/bodybalance_hero.jpg,https://www.youtube-nocookie.com/embed/6gMJdVHrwl4?si=sWhXIlPc9giMb5rw,"BODYBALANCE™ is the yoga, tai chi, and Pilates workout that builds flexibility and strength and leaves you feeling centered and calm. Controlled breathing, concentration, and a carefully structured series of stretches, moves, and poses create a holistic workout that brings the body into a state of harmony and balance.",Improved flexibility,Core strength,Stress reduction,45mins,55mins,,Yoga Mat,Towel,Comfortable Clothing
106,RPM,Cycle,../img/classes/thumbnails/q319-lesmills-fia-webassets_cf-mb-rpm.jpg,../img/classes/headers/q319-lesmills-fia-webassets_cf-dt-rpm.jpg,https://www.youtube-nocookie.com/embed/2-ELpvfio4Y?si=SMWi_6Q3KOhp9YsM,"RPM™ is the indoor cycling workout where you ride to the rhythm of powerful music. Take on the terrain with your inspiring team coach who leads the pack through hills, flats, mountain peaks, time trials, and interval training. Discover your athlete within – sweat and burn to reach your endorphin high.",Increased cardiovascular fitness,Lower body strength,Calorie burn,45mins,60mins,,Water Bottle,Towel,Cycling Shoes
107,Cycle,Cycle,../img/classes/thumbnails/cycle-class-thumbnail.jpg,../img/classes/headers/cycle-class-header.jpeg,,CYCLE is a class that takes your indoor cycling experience to the next level. Pedal through visually stunning landscapes as your instructor guides you through various terrains and intensities. It's a challenging and exhilarating cardio workout that brings the outdoor cycling experience inside.,Cardiovascular conditioning,Lower body strength,Endurance building,45mins,60mins,,Water Bottle,Towel,Cycling Shoes
108,Aqua Fit,Cardio,../img/classes/thumbnails/aquafit-class-thumbnail.jpg,../img/classes/headers/aquafit-header.jpeg,,"AQUA FIT is a water-based fitness class that combines cardiovascular and strength training exercises in the pool. The water provides resistance, making it a low-impact yet highly effective workout. Join us for a fun and refreshing way to stay fit and cool off at the same time.",Improved cardiovascular fitness,Low-impact exercise,Full-body workout,45mins,60mins,,Swimsuit,Towel,Water Shoes
109,Boxing,Strength,../img/classes/thumbnails/boxing-class-thumbnail.jpg,../img/classes/headers/boxing-header.jpeg,,"BOXING is a high-intensity workout that incorporates boxing techniques and drills to improve strength, agility, and endurance. You'll punch, kick, and work on combinations in this empowering and energizing class. Suitable for all fitness levels, it's a great way to relieve stress and build total-body strength.",Increased upper body strength,Improved coordination,Stress relief,45mins,60mins,,Boxing Gloves,Towel,Water Bottle
110,Step Moves,Cardio,../img/classes/thumbnails/step-moves-thumbnail.jpg,../img/classes/headers/step-moves-header.jpeg,,"STEP MOVES is a dynamic cardio class that combines step aerobics with creative dance moves. The step adds intensity to the workout, targeting the lower body while the dance elements keep it fun and entertaining. Join us for a high-energy class that will keep you moving and grooving.",Cardiovascular conditioning,Lower body toning,Dance-inspired workout,45mins,60mins,,Workout Shoes,Towel,Water Bottle
